Timestamp,Attack Vector,Outcome,Protocol,Target IP
20/04/2025 16:07,Environment Setup,Complete,N/A,N/A
20/04/2025 16:47,MITM Attack,Success,aes-128,192.168.1.15
21/04/2025 16:47,MITM Attack,Success,chacha20,192.168.1.15
22/04/2025 16:47,MITM Attack,Failure,ecdsa,192.168.1.15
23/04/2025 16:47,MITM Attack,Failure,ed25519,192.168.1.15
24/04/2025 16:47,MITM Attack,Failure,ecdh-sha256,192.168.1.15
20/04/2025 16:53,Replay Attack,Fail,aes-128,192.168.1.15
20/04/2025 16:55,Replay Attack,Fail,chacha20,192.168.1.15
20/04/2025 16:56,Replay Attack,Fail,ecdsa,192.168.1.15
20/04/2025 16:56,Replay Attack,Fail,ed25519,192.168.1.15
20/04/2025 16:58,Replay Attack,Fail,ecdh,192.168.1.15
20/04/2025 17:34,Downgrade Attack,Success,aes-128,192.168.1.15
20/04/2025 17:36,Downgrade Attack,Success,chacha20,192.168.1.15
20/04/2025 17:39,Downgrade Attack,Fail,ecdsa,192.168.1.15
20/04/2025 17:40,Downgrade Attack,Fail,ed25519,192.168.1.15
20/04/2025 17:41,Downgrade Attack,Fail,ecdh,192.168.1.15
